from,to,weight
compiler/src/dotty/tools/dotc/CompilationUnit.scala,compiler/src/dotty/tools/dotc/ast/tpd.scala,1
compiler/src/dotty/tools/dotc/CompilationUnit.scala,compiler/src/dotty/tools/dotc/ast/untpd.scala,1
compiler/src/dotty/tools/dotc/CompilationUnit.scala,compiler/src/dotty/tools/dotc/core/Flags.scala,1
compiler/src/dotty/tools/dotc/CompilationUnit.scala,compiler/src/dotty/tools/dotc/core/Phases.scala,1
compiler/src/dotty/tools/dotc/CompilationUnit.scala,compiler/src/dotty/tools/dotc/report.scala,13
compiler/src/dotty/tools/dotc/CompilationUnit.scala,compiler/src/dotty/tools/dotc/typer/Nullables.scala,1
compiler/src/dotty/tools/dotc/CompilationUnit.scala,compiler/src/dotty/tools/dotc/util/FreshNameCreator.scala,1
compiler/src/dotty/tools/dotc/CompilationUnit.scala,compiler/src/dotty/tools/dotc/util/SourceFile.scala,8
compiler/src/dotty/tools/dotc/CompilationUnit.scala,compiler/src/dotty/tools/io/AbstractFile.scala,5
compiler/src/dotty/tools/dotc/Compiler.scala,compiler/src/dotty/tools/backend/jvm/CollectSuperCalls.scala,1
compiler/src/dotty/tools/dotc/Compiler.scala,compiler/src/dotty/tools/backend/jvm/GenBCode.scala,1
compiler/src/dotty/tools/dotc/Compiler.scala,compiler/src/dotty/tools/backend/sjs/GenSJSIR.scala,1
compiler/src/dotty/tools/dotc/Compiler.scala,compiler/src/dotty/tools/dotc/core/Mode.scala,2
compiler/src/dotty/tools/dotc/Compiler.scala,compiler/src/dotty/tools/dotc/parsing/ParserPhase.scala,1
compiler/src/dotty/tools/dotc/Compiler.scala,compiler/src/dotty/tools/dotc/sbt/ExtractAPI.scala,1
compiler/src/dotty/tools/dotc/Compiler.scala,compiler/src/dotty/tools/dotc/sbt/ExtractDependencies.scala,1
compiler/src/dotty/tools/dotc/Compiler.scala,compiler/src/dotty/tools/dotc/semanticdb/ExtractSemanticDB.scala,1
compiler/src/dotty/tools/dotc/Compiler.scala,compiler/src/dotty/tools/dotc/transform/ArrayApply.scala,1
compiler/src/dotty/tools/dotc/Compiler.scala,compiler/src/dotty/tools/dotc/transform/ArrayConstructors.scala,1
